Term Name,Work term Number,GR/UG,Standard Monthly Wage
2015 - Fall,W-3,UG,5050.00
2015 - Fall,W-1,UG,4183.94
2015 - Fall,W-3,UG,0.00
2015 - Fall,W-1,UG,1787.36
2015 - Fall,W-3,UG,0.00
2015 - Fall,W-3,UG,2166.66
2015 - Fall,W-2,UG,2650.00
2015 - Fall,W-7,UG,5499.44
2015 - Fall,W-3,UG,0.00
2015 - Fall,W-2,UG,0.00
2015 - Fall,W-3,UG,0.00
2015 - Fall,W-4,UG,3163.09
2015 - Fall,W-2,UG,0.00
2015 - Fall,W-2,UG,0.00
2015 - Fall,W-2,UG,0.00
2015 - Fall,W-2,UG,0.00
2015 - Fall,W-1,UG,3016.42
2015 - Fall,W-4,UG,3119.76
2015 - Fall,W-4,GR,4333.00
2015 - Fall,W-4,UG,2234.34
2015 - Fall,W-4,UG,3466.40
2015 - Fall,W-2,UG,0.00
2015 - Fall,W-1,UG,2166.50
2015 - Fall,W-4,UG,4000.44
2015 - Fall,W-1,UG,3000.00
2015 - Fall,W-4,UG,3932.75
2015 - Fall,W-3,UG,2785.00
2015 - Fall,W-6,UG,3028.55
2015 - Fall,W-4,UG,4700.00
2015 - Fall,W-1,GR,4488.99
2015 - Fall,W-1,UG,2911.78
2015 - Fall,W-4,UG,3986.36
2015 - Fall,W-4,UG,3639.72
2015 - Fall,W-6,UG,3813.04
2015 - Fall,W-4,UG,5957.88
2015 - Fall,W-4,UG,6768.15
2015 - Fall,W-3,UG,2785.00
2015 - Fall,W-3,UG,2881.45
2015 - Fall,W-4,UG,3639.72
2015 - Fall,W-3,UG,3110.01
2015 - Fall,W-4,UG,0.00
2015 - Fall,W-4,UG,3800.00
2015 - Fall,W-2,UG,3231.88
2015 - Fall,W-3,UG,3813.04
2015 - Fall,W-4,UG,3554.79
2015 - Fall,W-3,UG,3798.96
2015 - Fall,W-3,UG,3300.00
2015 - Fall,W-2,UG,3596.67
2015 - Fall,W-4,UG,3252.50
2015 - Fall,N/A,UG,3206.42
2015 - Fall,W-4,UG,3075.00
2015 - Fall,W-1,GR,3770.14
2015 - Fall,W-3,UG,4697.10
2015 - Fall,W-4,UG,6824.48
2015 - Fall,W-4,UG,0.00
2015 - Fall,W-4,UG,3231.88
2015 - Fall,W-4,UG,0.00
2015 - Fall,W-1,UG,3206.42
2015 - Fall,W-4,UG,5010.68
2015 - Fall,W-4,UG,5199.60
2015 - Fall,W-4,UG,2700.00
2015 - Fall,W-5,UG,0.00
2015 - Fall,W-2,UG,2911.78
2015 - Fall,W-5,GR,5199.60
2015 - Fall,W-4,UG,4159.68
2015 - Fall,W-3,UG,3726.38
2015 - Fall,W-3,UG,3500.00
2015 - Fall,W-4,UG,0.00
2015 - Fall,W-3,UG,3200.00
2015 - Fall,W-3,UG,3899.70
2015 - Fall,W-2,UG,3025.00
2015 - Fall,W-5,UG,3160.00
2015 - Fall,W-1,UG,2762.29
2015 - Fall,W-3,UG,4600.00
2015 - Fall,W-4,UG,3105.89
2015 - Fall,W-3,UG,3350.00
2015 - Fall,W-3,UG,1697.99
2015 - Fall,W-4,UG,4874.63
2015 - Fall,W-4,UG,3500.00
2015 - Fall,W-5,UG,5320.92
2015 - Fall,W-3,UG,4700.00
2015 - Fall,W-1,UG,2500.00
2015 - Fall,W-5,UG,5546.24
2015 - Fall,W-3,UG,2333.00
2015 - Fall,W-3,UG,0.00
2015 - Fall,W-3,UG,3412.24
2015 - Fall,W-4,UG,3120.00
2015 - Fall,W-4,UG,3110.44
2015 - Fall,W-2,UG,2911.78
2015 - Fall,W-4,UG,4250.00
2015 - Fall,W-3,UG,2773.12
2015 - Fall,W-3,UG,2757.42
2015 - Fall,W-4,UG,0.00
2015 - Fall,W-4,UG,5199.60
2015 - Fall,W-4,UG,3160.00
2015 - Fall,W-3,UG,3500.00
2015 - Fall,W-6,GR,7166.67
2015 - Fall,W-5,UG,4600.00
2015 - Fall,W-4,UG,216.65
2015 - Fall,W-3,GR,5199.60
2015 - Fall,W-1,GR,4333.00
2015 - Fall,W-1,UG,3500.00
2015 - Fall,W-2,UG,2800.00
2015 - Fall,W-1,UG,3119.76
2015 - Fall,W-3,UG,2599.80
2015 - Fall,W-5,UG,5050.00
2015 - Fall,W-4,UG,2700.00
2015 - Fall,W-2,UG,1776.53
2015 - Fall,W-3,UG,0.00
2015 - Fall,W-6,UG,5501.18
2015 - Fall,W-4,UG,3813.04
2015 - Fall,W-2,UG,3000.00
2015 - Fall,W-4,UG,2760.99
2015 - Fall,W-4,UG,0.00
2015 - Fall,W-4,UG,2710.00
2015 - Fall,W-2,UG,2717.66
2015 - Fall,W-4,UG,5199.60
2015 - Fall,W-4,UG,3750.00
2015 - Fall,W-3,UG,1125.00
